respondent_id,race,gender,sexual_orientation,education,employment,income,age,ethnicity,state
13352,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Lesbian,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: less 10k,40,non-hispanic,Mississippi
249019,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Out Of Work One Or More,Annual Income: 75k 100k,83,non-hispanic,Virginia
274983,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,36,non-hispanic,Arkansas
216963,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Prefer Not To Answer,51,non-hispanic,New Hampshire
128900,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Self Employed,Skip,88,non-hispanic,Louisiana
302424,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 25k 35k,31,non-hispanic,Colorado
108287,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Out Of Work Less Than One,Annual Income: 25k 35k,109,hispanic,Nevada
350742,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: None,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Prefer Not To Answer,117,non-hispanic,Texas
61304,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Out Of Work One Or More,Annual Income: 35k 50k,26,non-hispanic,Montana
55870,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Retired,Annual Income: 10k 25k,35,non-hispanic,Ohio
109837,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: 75k 100k,99,non-hispanic,North Dakota
56085,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Unable To Work,Annual Income: 10k 25k,35,non-hispanic,Idaho
245742,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Homemaker,Annual Income: less 10k,78,non-hispanic,Georgia
202625,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 150k 200k,78,non-hispanic,Colorado
245204,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,40,non-hispanic,Pennsylvania
108213,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 25k 35k,51,non-hispanic,Kentucky
171443,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Annual Income: 100k 150k,62,non-hispanic,Hawaii
330894,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 35k 50k,95,non-hispanic,Oregon
180726,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Skip,Annual Income: 10k 25k,39,hispanic,Colorado
313469,What Race Ethnicity: Asian,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Unable To Work,Annual Income: 75k 100k,62,non-hispanic,Hawaii
129416,What Race Ethnicity: Asian,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Retired,Prefer Not To Answer,59,non-hispanic,North Dakota
229054,What Race Ethnicity: Asian,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Prefer Not To Answer,29,non-hispanic,Montana
274458,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: less 10k,44,non-hispanic,Indiana
157048,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Skip,Employment Status: Unable To Work,Annual Income: 75k 100k,118,non-hispanic,Alabama
29523,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 150k 200k,55,hispanic,North Dakota
44511,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 35k 50k,50,hispanic,California
49607,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Five Through Eight,Employment Status: Homemaker,Annual Income: 50k 75k,25,non-hispanic,West Virginia
180465,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Out Of Work Less Than One,Annual Income: 10k 25k,64,hispanic,North Dakota
128126,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Prefer Not To Answer,21,non-hispanic,Maine
207933,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: less 10k,52,non-hispanic,Wyoming
230871,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 35k 50k,112,hispanic,South Dakota
186287,What Race Ethnicity: White,Skip,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 35k 50k,94,non-hispanic,Arkansas
107601,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Out Of Work Less Than One,Annual Income: 10k 25k,64,non-hispanic,Pennsylvania
353252,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Prefer Not To Answer,63,non-hispanic,Alabama
131121,What Race Ethnicity: White,Skip,Sexual Orientation: Bisexual,Highest Grade: Nine Through Eleven,Employment Status: Employed For Wages,Annual Income: 25k 35k,115,non-hispanic,Ohio
230509,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 25k 35k,67,non-hispanic,Colorado
131910,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Skip,Employment Status: Employed For Wages,Annual Income: 35k 50k,64,non-hispanic,Kentucky
244372,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 50k 75k,49,non-hispanic,Iowa
252364,Other,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Prefer Not To Answer,48,non-hispanic,Maine
364869,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Student,Annual Income: more 200k,42,non-hispanic,New Hampshire
9421,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,99,non-hispanic,South Carolina
162699,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Skip,Annual Income: less 10k,70,non-hispanic,Colorado
252202,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Prefer Not To Answer,26,non-hispanic,South Dakota
105348,Skip,Gender Identity: Woman,Sexual Orientation: None,Skip,Employment Status: Self Employed,Annual Income: less 10k,49,non-hispanic,Idaho
189129,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Unable To Work,Annual Income: 150k 200k,90,non-hispanic,New York
241800,More than one race/ethnicity,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Prefer Not To Answer,86,non-hispanic,Wisconsin
84256,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Annual Income: 100k 150k,89,non-hispanic,South Dakota
54555,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Retired,Skip,88,non-hispanic,Alabama
77629,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Retired,Annual Income: 150k 200k,36,non-hispanic,Michigan
138319,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Out Of Work One Or More,Annual Income: less 10k,19,non-hispanic,Massachusetts
142990,What Race Ethnicity: Black,Skip,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Prefer Not To Answer,34,non-hispanic,Washington
63447,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Retired,Annual Income: less 10k,95,non-hispanic,Colorado
297680,More than one race/ethnicity,Gender Identity: Man,Skip,Highest Grade: College One to Three,Employment Status: Unable To Work,Annual Income: 100k 150k,43,non-hispanic,Louisiana
359692,What Race Ethnicity: Black,Gender Identity: Woman,Skip,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 35k 50k,114,non-hispanic,Wisconsin
364191,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Prefer Not To Answer,57,non-hispanic,Illinois
365107,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Unable To Work,Annual Income: more 200k,21,non-hispanic,North Carolina
334780,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 150k 200k,72,non-hispanic,Louisiana
